incident_id,match_id,referee_id,offending_team,opponent_team,official_decision,model_decision,model_confidence,data_origin
I0049,M0049,R01,Red,Black,yellow,foul_no_card,0.961,synthetic
I0050,M0050,R01,Green,White,foul_no_card,no_offence,0.918,synthetic
I0051,M0051,R01,White,Black,foul_no_card,no_offence,0.926,synthetic
I0052,M0052,R01,Red,Green,no_offence,no_offence,0.864,synthetic
I0053,M0053,R01,Black,Red,yellow,yellow,0.862,synthetic
I0054,M0054,R01,Gold,Green,foul_no_card,yellow,0.888,synthetic
I0055,M0055,R01,Green,Blue,foul_no_card,no_offence,0.862,synthetic
I0056,M0056,R01,White,Gold,foul_no_card,foul_no_card,0.622,synthetic
I0057,M0057,R01,White,Red,no_offence,foul_no_card,0.844,synthetic
I0058,M0058,R01,Red,Blue,yellow,foul_no_card,0.958,synthetic
I0059,M0059,R01,Green,Red,yellow,yellow,0.91,synthetic
I0060,M0060,R01,Gold,Black,red,yellow,0.846,synthetic
I0061,M0061,R01,Red,Gold,no_offence,no_offence,0.969,synthetic
I0062,M0062,R01,White,Red,no_offence,foul_no_card,0.96,synthetic
I0063,M0063,R01,Gold,Red,foul_no_card,no_offence,0.951,synthetic
I0064,M0064,R01,Red,White,no_offence,no_offence,0.958,synthetic
I0065,M0065,R01,Green,White,foul_no_card,foul_no_card,0.906,synthetic
I0066,M0066,R01,Blue,White,yellow,yellow,0.977,synthetic
I0067,M0067,R01,Blue,White,foul_no_card,foul_no_card,0.89,synthetic
I0068,M0068,R01,Black,Blue,foul_no_card,foul_no_card,0.933,synthetic
I0069,M0069,R01,Blue,Black,yellow,yellow,0.939,synthetic
I0070,M0070,R01,White,Red,foul_no_card,foul_no_card,0.873,synthetic
I0071,M0071,R01,Green,Blue,yellow,yellow,0.885,synthetic
I0072,M0072,R01,Gold,Green,foul_no_card,foul_no_card,0.881,synthetic
I0073,M0073,R01,White,Red,foul_no_card,foul_no_card,0.82,synthetic
I0074,M0074,R01,Green,Red,foul_no_card,foul_no_card,0.894,synthetic
I0075,M0075,R01,Gold,Red,no_offence,foul_no_card,0.938,synthetic
I0076,M0076,R01,White,Blue,foul_no_card,foul_no_card,0.835,synthetic
I0077,M0077,R01,Red,Green,foul_no_card,foul_no_card,0.649,synthetic
I0078,M0078,R01,Gold,Black,yellow,yellow,0.921,synthetic
I0079,M0079,R01,Red,Gold,foul_no_card,foul_no_card,0.821,synthetic
I0080,M0080,R01,Blue,Gold,no_offence,foul_no_card,0.894,synthetic
I0081,M0081,R01,Black,Red,yellow,yellow,0.894,synthetic
I0082,M0082,R01,Black,White,yellow,foul_no_card,0.918,synthetic
I0083,M0083,R01,White,Black,yellow,foul_no_card,0.845,synthetic
I0084,M0084,R01,Gold,White,foul_no_card,foul_no_card,0.943,synthetic
I0085,M0085,R01,Black,Gold,foul_no_card,foul_no_card,0.656,synthetic
I0086,M0086,R01,Green,White,foul_no_card,foul_no_card,0.857,synthetic
I0087,M0087,R01,White,Red,yellow,yellow,0.907,synthetic
I0088,M0088,R01,Gold,Blue,foul_no_card,foul_no_card,0.913,synthetic
I0089,M0089,R01,White,Blue,foul_no_card,yellow,0.821,synthetic
I0090,M0090,R01,Green,White,foul_no_card,yellow,0.887,synthetic
I0091,M0091,R01,White,Black,red,yellow,0.864,synthetic
I0092,M0092,R01,Gold,Blue,foul_no_card,foul_no_card,0.936,synthetic
I0093,M0093,R01,Gold,Red,red,red,0.915,synthetic
I0094,M0094,R01,White,Blue,no_offence,no_offence,0.849,synthetic
I0095,M0095,R01,Green,Gold,foul_no_card,foul_no_card,0.961,synthetic
I0096,M0096,R01,Green,Gold,foul_no_card,foul_no_card,0.696,synthetic
I0097,M0097,R01,Green,Red,foul_no_card,yellow,0.941,synthetic
I0098,M0098,R01,Red,White,yellow,yellow,0.896,synthetic
I0099,M0099,R01,Blue,Black,yellow,yellow,0.879,synthetic
I0100,M0100,R01,Black,White,red,red,0.846,synthetic
I0101,M0101,R01,Green,Blue,yellow,foul_no_card,0.965,synthetic
I0102,M0102,R01,Gold,White,yellow,yellow,0.953,synthetic
I0103,M0103,R01,Red,Blue,yellow,yellow,0.949,synthetic
I0104,M0104,R01,Black,Blue,foul_no_card,foul_no_card,0.901,synthetic
I0105,M0105,R01,Green,Blue,foul_no_card,yellow,0.974,synthetic
I0106,M0106,R01,White,Gold,yellow,yellow,0.974,synthetic
I0107,M0107,R01,Green,Black,yellow,yellow,0.89,synthetic
I0108,M0108,R01,White,Black,no_offence,foul_no_card,0.834,synthetic
I0109,M0109,R01,Gold,Red,yellow,yellow,0.874,synthetic
I0110,M0110,R01,Gold,Green,no_offence,no_offence,0.874,synthetic
I0111,M0111,R01,Black,Green,foul_no_card,foul_no_card,0.859,synthetic
I0112,M0112,R01,Gold,White,foul_no_card,foul_no_card,0.934,synthetic
I0113,M0113,R01,Gold,Blue,no_offence,no_offence,0.869,synthetic
I0114,M0114,R01,Black,Green,foul_no_card,foul_no_card,0.939,synthetic
I0115,M0115,R01,Green,White,yellow,yellow,0.839,synthetic
I0116,M0116,R01,Red,Green,no_offence,no_offence,0.85,synthetic
I0117,M0117,R01,Red,Gold,foul_no_card,foul_no_card,0.915,synthetic
I0118,M0118,R01,Blue,Red,foul_no_card,foul_no_card,0.933,synthetic
I0119,M0119,R01,Red,Green,no_offence,no_offence,0.971,synthetic
I0120,M0120,R01,White,Gold,no_offence,no_offence,0.897,synthetic
I0121,M0121,R02,Green,Red,red,red,0.838,synthetic
I0122,M0122,R02,Blue,Gold,foul_no_card,foul_no_card,0.844,synthetic
I0123,M0123,R02,Black,Green,no_offence,no_offence,0.887,synthetic
I0124,M0124,R02,Black,White,foul_no_card,foul_no_card,0.891,synthetic
I0125,M0125,R02,Black,Gold,foul_no_card,foul_no_card,0.938,synthetic
I0126,M0126,R02,Red,White,foul_no_card,foul_no_card,0.908,synthetic
I0127,M0127,R02,Red,Blue,foul_no_card,foul_no_card,0.825,synthetic
I0128,M0128,R02,Green,White,yellow,yellow,0.968,synthetic
I0129,M0129,R02,White,Black,red,yellow,0.907,synthetic
I0130,M0130,R02,White,Red,foul_no_card,yellow,0.637,synthetic
I0131,M0131,R02,Green,Black,yellow,yellow,0.84,synthetic
I0132,M0132,R02,White,Green,red,yellow,0.899,synthetic
I0133,M0133,R02,Blue,Black,no_offence,no_offence,0.86,synthetic
I0134,M0134,R02,Blue,Red,yellow,red,0.972,synthetic
I0135,M0135,R02,White,Green,no_offence,foul_no_card,0.903,synthetic
I0136,M0136,R02,Gold,Green,no_offence,no_offence,0.899,synthetic
I0137,M0137,R02,Blue,Gold,foul_no_card,foul_no_card,0.957,synthetic
I0138,M0138,R02,Green,Gold,yellow,yellow,0.95,synthetic
I0139,M0139,R02,Black,Blue,foul_no_card,foul_no_card,0.975,synthetic
I0140,M0140,R02,Gold,Black,yellow,yellow,0.894,synthetic
I0141,M0141,R02,Blue,Red,foul_no_card,foul_no_card,0.891,synthetic
I0142,M0142,R02,Blue,Red,foul_no_card,foul_no_card,0.961,synthetic
I0143,M0143,R02,Gold,Blue,no_offence,no_offence,0.934,synthetic
I0144,M0144,R02,Green,Black,no_offence,no_offence,0.955,synthetic
I0145,M0145,R02,Blue,Gold,yellow,yellow,0.969,synthetic
I0146,M0146,R02,Green,Black,yellow,yellow,0.896,synthetic
I0147,M0147,R02,Gold,Black,no_offence,no_offence,0.939,synthetic
I0148,M0148,R02,Red,Blue,no_offence,foul_no_card,0.969,synthetic
I0149,M0149,R02,Black,Green,yellow,yellow,0.914,synthetic
I0150,M0150,R02,White,Gold,yellow,yellow,0.873,synthetic
I0151,M0151,R02,Black,Gold,foul_no_card,foul_no_card,0.932,synthetic
I0152,M0152,R02,Black,Gold,no_offence,foul_no_card,0.729,synthetic
I0153,M0153,R02,White,Gold,foul_no_card,foul_no_card,0.977,synthetic
I0154,M0154,R02,Gold,Blue,foul_no_card,no_offence,0.836,synthetic
I0155,M0155,R02,Gold,Blue,foul_no_card,foul_no_card,0.886,synthetic
I0156,M0156,R02,White,Red,foul_no_card,no_offence,0.92,synthetic
I0157,M0157,R02,Gold,Blue,foul_no_card,yellow,0.881,synthetic
I0158,M0158,R02,Green,Gold,yellow,yellow,0.711,synthetic
I0159,M0159,R02,Green,Red,yellow,yellow,0.921,synthetic
I0160,M0160,R02,Blue,Gold,no_offence,no_offence,0.662,synthetic
I0161,M0161,R02,Blue,Green,foul_no_card,foul_no_card,0.886,synthetic
I0162,M0162,R02,White,Red,no_offence,no_offence,0.919,synthetic
I0163,M0163,R02,Red,Gold,yellow,yellow,0.861,synthetic
I0164,M0164,R02,Green,Blue,yellow,yellow,0.907,synthetic
I0165,M0165,R02,Blue,Gold,red,yellow,0.974,synthetic
I0166,M0166,R02,White,Green,foul_no_card,foul_no_card,0.957,synthetic
I0167,M0167,R02,Blue,Red,foul_no_card,foul_no_card,0.932,synthetic
I0168,M0168,R02,Blue,Gold,foul_no_card,foul_no_card,0.939,synthetic
I0169,M0169,R02,Blue,Black,foul_no_card,yellow,0.944,synthetic
I0170,M0170,R02,Red,Black,yellow,yellow,0.86,synthetic
I0171,M0171,R02,White,Red,yellow,foul_no_card,0.869,synthetic
I0172,M0172,R02,Gold,Blue,foul_no_card,foul_no_card,0.867,synthetic
I0173,M0173,R02,White,Gold,no_offence,no_offence,0.975,synthetic
I0174,M0174,R02,Black,White,foul_no_card,yellow,0.952,synthetic
I0175,M0175,R02,Gold,Green,yellow,yellow,0.974,synthetic
I0176,M0176,R02,Red,White,yellow,yellow,0.975,synthetic
I0177,M0177,R02,Black,Green,no_offence,no_offence,0.84,synthetic
I0178,M0178,R02,Green,White,no_offence,foul_no_card,0.837,synthetic
I0179,M0179,R02,Red,Gold,foul_no_card,no_offence,0.966,synthetic
I0180,M0180,R02,Red,Blue,foul_no_card,foul_no_card,0.924,synthetic
I0181,M0181,R02,Blue,Red,no_offence,no_offence,0.839,synthetic
I0182,M0182,R02,Red,Black,no_offence,no_offence,0.939,synthetic
I0183,M0183,R02,Black,Gold,foul_no_card,foul_no_card,0.925,synthetic
I0184,M0184,R02,Gold,Black,yellow,foul_no_card,0.669,synthetic
I0185,M0185,R02,Gold,White,yellow,red,0.93,synthetic
I0186,M0186,R02,Black,Green,no_offence,no_offence,0.972,synthetic
I0187,M0187,R02,Gold,Blue,yellow,yellow,0.823,synthetic
I0188,M0188,R02,Green,Red,yellow,red,0.953,synthetic
I0189,M0189,R02,Black,Red,no_offence,foul_no_card,0.944,synthetic
I0190,M0190,R02,Black,Blue,yellow,foul_no_card,0.906,synthetic
I0191,M0191,R02,Red,Blue,yellow,yellow,0.736,synthetic
I0192,M0192,R02,Red,Black,foul_no_card,foul_no_card,0.729,synthetic
I0193,M0193,R02,Black,Blue,yellow,yellow,0.902,synthetic
I0194,M0194,R02,Blue,Gold,yellow,foul_no_card,0.735,synthetic
I0195,M0195,R02,White,Black,foul_no_card,foul_no_card,0.77,synthetic
I0196,M0196,R02,Gold,White,yellow,yellow,0.832,synthetic
I0197,M0197,R02,Blue,Green,foul_no_card,foul_no_card,0.921,synthetic
I0198,M0198,R02,Black,Green,foul_no_card,foul_no_card,0.901,synthetic
I0199,M0199,R02,Gold,Blue,yellow,yellow,0.96,synthetic
I0200,M0200,R02,Black,Red,yellow,foul_no_card,0.952,synthetic
I0201,M0201,R02,Gold,White,yellow,yellow,0.861,synthetic
I0202,M0202,R02,Red,Gold,foul_no_card,no_offence,0.835,synthetic
I0203,M0203,R02,White,Green,yellow,yellow,0.91,synthetic
I0204,M0204,R02,Green,Blue,no_offence,foul_no_card,0.888,synthetic
I0205,M0205,R02,White,Blue,red,red,0.912,synthetic
I0206,M0206,R02,Red,White,yellow,yellow,0.955,synthetic
I0207,M0207,R02,Green,Blue,yellow,yellow,0.955,synthetic
I0208,M0208,R02,Black,White,yellow,yellow,0.925,synthetic
I0209,M0209,R02,White,Green,no_offence,no_offence,0.967,synthetic
I0210,M0210,R02,Green,Blue,no_offence,no_offence,0.831,synthetic
I0211,M0211,R02,White,Blue,no_offence,no_offence,0.893,synthetic
I0212,M0212,R02,Red,Green,foul_no_card,foul_no_card,0.915,synthetic
I0213,M0213,R02,Blue,Red,no_offence,no_offence,0.864,synthetic
I0214,M0214,R02,White,Gold,foul_no_card,foul_no_card,0.941,synthetic
I0215,M0215,R02,Blue,Green,foul_no_card,foul_no_card,0.898,synthetic
I0216,M0216,R02,White,Green,no_offence,no_offence,0.821,synthetic
I0217,M0217,R02,Green,Red,foul_no_card,yellow,0.839,synthetic
I0218,M0218,R02,Gold,White,no_offence,no_offence,0.9,synthetic
I0219,M0219,R02,White,Green,foul_no_card,no_offence,0.613,synthetic
I0220,M0220,R02,Blue,Green,foul_no_card,foul_no_card,0.887,synthetic
I0221,M0221,R02,Blue,Gold,no_offence,no_offence,0.919,synthetic
I0222,M0222,R02,White,Green,foul_no_card,no_offence,0.914,synthetic
I0223,M0223,R02,Black,Blue,foul_no_card,foul_no_card,0.873,synthetic
I0224,M0224,R02,Red,Blue,foul_no_card,foul_no_card,0.965,synthetic
I0225,M0225,R02,Green,White,foul_no_card,yellow,0.858,synthetic
I0226,M0226,R02,Red,Green,no_offence,no_offence,0.925,synthetic
I0227,M0227,R02,Red,Gold,foul_no_card,foul_no_card,0.929,synthetic
I0228,M0228,R02,Black,White,yellow,foul_no_card,0.89,synthetic
I0229,M0229,R02,Gold,White,no_offence,foul_no_card,0.876,synthetic
I0230,M0230,R02,Blue,Green,foul_no_card,foul_no_card,0.866,synthetic
I0231,M0231,R02,White,Blue,foul_no_card,foul_no_card,0.909,synthetic
I0232,M0232,R02,White,Blue,no_offence,foul_no_card,0.871,synthetic
I0233,M0233,R02,Gold,Black,no_offence,no_offence,0.964,synthetic
I0234,M0234,R02,Green,Blue,foul_no_card,foul_no_card,0.89,synthetic
I0235,M0235,R02,Gold,Black,foul_no_card,foul_no_card,0.865,synthetic
I0236,M0236,R02,Gold,Green,yellow,yellow,0.874,synthetic
I0237,M0237,R02,Green,Blue,foul_no_card,foul_no_card,0.956,synthetic
I0238,M0238,R02,Black,Red,foul_no_card,foul_no_card,0.876,synthetic
I0239,M0239,R02,White,Gold,no_offence,no_offence,0.909,synthetic
I0240,M0240,R02,White,Green,yellow,yellow,0.938,synthetic
I0241,M0241,R03,White,Black,no_offence,no_offence,0.823,synthetic
I0242,M0242,R03,Green,Red,red,red,0.851,synthetic
I0243,M0243,R03,Red,White,foul_no_card,no_offence,0.943,synthetic
I0244,M0244,R03,White,Black,no_offence,no_offence,0.841,synthetic
I0245,M0245,R03,Gold,Red,foul_no_card,no_offence,0.949,synthetic
I0246,M0246,R03,Red,Gold,no_offence,no_offence,0.975,synthetic
I0247,M0247,R03,Black,Green,foul_no_card,yellow,0.858,synthetic
I0248,M0248,R03,Gold,Red,yellow,foul_no_card,0.894,synthetic
I0249,M0249,R03,Green,Gold,foul_no_card,foul_no_card,0.852,synthetic
I0250,M0250,R03,Black,Red,yellow,yellow,0.879,synthetic
I0251,M0251,R03,Blue,Black,yellow,yellow,0.864,synthetic
I0252,M0252,R03,Black,Red,yellow,yellow,0.951,synthetic
I0253,M0253,R03,Green,Blue,foul_no_card,foul_no_card,0.882,synthetic
I0254,M0254,R03,Blue,Green,foul_no_card,foul_no_card,0.934,synthetic
I0255,M0255,R03,Green,Red,no_offence,no_offence,0.931,synthetic
I0256,M0256,R03,Red,Gold,foul_no_card,foul_no_card,0.651,synthetic
I0257,M0257,R03,Red,Black,yellow,yellow,0.944,synthetic
I0258,M0258,R03,Red,Green,no_offence,no_offence,0.92,synthetic
I0259,M0259,R03,Blue,White,yellow,yellow,0.921,synthetic
I0260,M0260,R03,Black,Red,yellow,yellow,0.666,synthetic
I0261,M0261,R03,Black,Gold,no_offence,no_offence,0.878,synthetic
I0262,M0262,R03,Black,White,yellow,foul_no_card,0.882,synthetic
I0263,M0263,R03,Gold,Blue,yellow,foul_no_card,0.823,synthetic
I0264,M0264,R03,Blue,Green,foul_no_card,foul_no_card,0.913,synthetic
I0265,M0265,R03,Green,Red,no_offence,no_offence,0.848,synthetic
I0266,M0266,R03,White,Gold,red,red,0.842,synthetic
I0267,M0267,R03,White,Gold,no_offence,no_offence,0.962,synthetic
I0268,M0268,R03,Green,White,yellow,foul_no_card,0.861,synthetic
I0269,M0269,R03,White,Red,no_offence,foul_no_card,0.715,synthetic
I0270,M0270,R03,Green,Blue,yellow,yellow,0.89,synthetic
I0271,M0271,R03,Gold,Green,red,red,0.968,synthetic
I0272,M0272,R03,Black,Green,yellow,yellow,0.706,synthetic
I0273,M0273,R03,Red,Black,foul_no_card,foul_no_card,0.867,synthetic
I0274,M0274,R03,Gold,Black,yellow,yellow,0.892,synthetic
I0275,M0275,R03,White,Green,foul_no_card,foul_no_card,0.947,synthetic
I0276,M0276,R03,Blue,White,yellow,yellow,0.94,synthetic
I0277,M0277,R03,Red,Blue,no_offence,no_offence,0.826,synthetic
I0278,M0278,R03,Blue,Red,yellow,yellow,0.911,synthetic
I0279,M0279,R03,Black,Red,red,yellow,0.942,synthetic
I0280,M0280,R03,Black,Red,foul_no_card,foul_no_card,0.86,synthetic
I0281,M0281,R03,Blue,White,yellow,yellow,0.91,synthetic
I0282,M0282,R03,Green,White,yellow,yellow,0.931,synthetic
I0283,M0283,R03,Gold,Red,foul_no_card,no_offence,0.964,synthetic
I0284,M0284,R03,Gold,Blue,red,yellow,0.927,synthetic
I0285,M0285,R03,White,Blue,foul_no_card,foul_no_card,0.845,synthetic
I0286,M0286,R03,White,Red,yellow,yellow,0.852,synthetic
I0287,M0287,R03,Red,White,yellow,yellow,0.879,synthetic
I0288,M0288,R03,Black,Red,foul_no_card,foul_no_card,0.98,synthetic
I0289,M0289,R03,White,Gold,no_offence,foul_no_card,0.832,synthetic
I0290,M0290,R03,Green,Blue,foul_no_card,foul_no_card,0.96,synthetic
I0291,M0291,R03,Black,White,foul_no_card,no_offence,0.966,synthetic
I0292,M0292,R03,Blue,White,foul_no_card,foul_no_card,0.97,synthetic
I0293,M0293,R03,Red,Green,yellow,yellow,0.833,synthetic
I0294,M0294,R03,Red,Black,foul_no_card,foul_no_card,0.835,synthetic
I0295,M0295,R03,White,Red,foul_no_card,foul_no_card,0.92,synthetic
I0296,M0296,R03,Black,Green,yellow,yellow,0.825,synthetic
I0297,M0297,R03,Blue,Black,foul_no_card,foul_no_card,0.919,synthetic
I0298,M0298,R03,Blue,Gold,yellow,yellow,0.868,synthetic
I0299,M0299,R03,Red,Gold,foul_no_card,foul_no_card,0.68,synthetic
I0300,M0300,R03,Gold,White,foul_no_card,foul_no_card,0.935,synthetic
I0301,M0301,R03,White,Green,red,red,0.91,synthetic
I0302,M0302,R03,Green,Red,foul_no_card,foul_no_card,0.835,synthetic
I0303,M0303,R03,Green,Gold,yellow,yellow,0.964,synthetic
I0304,M0304,R03,Green,Black,yellow,yellow,0.979,synthetic
I0305,M0305,R03,Gold,White,yellow,yellow,0.883,synthetic
I0306,M0306,R03,Gold,Red,foul_no_card,foul_no_card,0.689,synthetic
I0307,M0307,R03,White,Gold,foul_no_card,foul_no_card,0.841,synthetic
I0308,M0308,R03,Green,White,yellow,yellow,0.911,synthetic
I0309,M0309,R03,Red,Green,foul_no_card,foul_no_card,0.942,synthetic
I0310,M0310,R03,Green,Black,yellow,yellow,0.883,synthetic
I0311,M0311,R03,Green,Black,yellow,yellow,0.901,synthetic
I0312,M0312,R03,Black,Blue,no_offence,no_offence,0.896,synthetic
I0313,M0313,R03,Gold,Red,foul_no_card,foul_no_card,0.918,synthetic
I0314,M0314,R03,Red,Gold,red,red,0.874,synthetic
I0315,M0315,R03,Black,White,foul_no_card,foul_no_card,0.823,synthetic
I0316,M0316,R03,Green,Blue,red,red,0.936,synthetic
I0317,M0317,R03,White,Blue,foul_no_card,foul_no_card,0.976,synthetic
I0318,M0318,R03,Black,White,foul_no_card,foul_no_card,0.904,synthetic
I0319,M0319,R03,White,Black,yellow,yellow,0.859,synthetic
I0320,M0320,R03,Black,Blue,no_offence,no_offence,0.886,synthetic
I0321,M0321,R03,Red,Gold,foul_no_card,foul_no_card,0.956,synthetic
I0322,M0322,R03,White,Blue,yellow,yellow,0.98,synthetic
I0323,M0323,R03,Gold,Black,yellow,foul_no_card,0.905,synthetic
I0324,M0324,R03,Black,Green,foul_no_card,yellow,0.949,synthetic
I0325,M0325,R03,Green,Black,yellow,foul_no_card,0.868,synthetic
I0326,M0326,R03,Green,White,yellow,yellow,0.897,synthetic
I0327,M0327,R03,Black,Green,foul_no_card,foul_no_card,0.963,synthetic
I0328,M0328,R03,Gold,Green,yellow,red,0.866,synthetic
I0329,M0329,R03,White,Blue,foul_no_card,foul_no_card,0.897,synthetic
I0330,M0330,R03,Red,Black,foul_no_card,foul_no_card,0.837,synthetic
I0331,M0331,R03,White,Black,foul_no_card,foul_no_card,0.856,synthetic
I0332,M0332,R03,Red,Blue,no_offence,no_offence,0.929,synthetic
I0333,M0333,R03,Red,Blue,yellow,red,0.924,synthetic
I0334,M0334,R03,Gold,White,yellow,yellow,0.866,synthetic
I0335,M0335,R03,Blue,White,yellow,yellow,0.956,synthetic
I0336,M0336,R03,Blue,Red,no_offence,foul_no_card,0.826,synthetic
I0337,M0337,R03,Gold,White,no_offence,no_offence,0.866,synthetic
I0338,M0338,R03,Blue,White,foul_no_card,foul_no_card,0.874,synthetic
I0339,M0339,R03,Gold,Black,yellow,foul_no_card,0.901,synthetic
I0340,M0340,R03,Green,Red,yellow,yellow,0.924,synthetic
I0341,M0341,R03,White,Red,no_offence,no_offence,0.928,synthetic
I0342,M0342,R03,Red,White,foul_no_card,foul_no_card,0.888,synthetic
I0343,M0343,R03,Green,Blue,foul_no_card,foul_no_card,0.896,synthetic
I0344,M0344,R03,Red,Blue,foul_no_card,foul_no_card,0.973,synthetic
I0345,M0345,R03,Green,Black,yellow,yellow,0.931,synthetic
I0346,M0346,R03,Blue,White,foul_no_card,foul_no_card,0.968,synthetic
I0347,M0347,R03,White,Green,yellow,yellow,0.879,synthetic
I0348,M0348,R03,Red,White,red,red,0.978,synthetic
I0349,M0349,R03,Green,Gold,red,yellow,0.948,synthetic
I0350,M0350,R03,Red,White,yellow,yellow,0.904,synthetic
I0351,M0351,R03,Black,Green,no_offence,no_offence,0.698,synthetic
I0352,M0352,R03,Black,Red,foul_no_card,foul_no_card,0.903,synthetic
I0353,M0353,R03,Blue,Red,yellow,yellow,0.891,synthetic
I0354,M0354,R03,Blue,Gold,no_offence,no_offence,0.909,synthetic
I0355,M0355,R03,White,Green,yellow,yellow,0.939,synthetic
I0356,M0356,R03,Black,Blue,no_offence,no_offence,0.769,synthetic
I0357,M0357,R03,Blue,Gold,no_offence,no_offence,0.943,synthetic
I0358,M0358,R03,White,Gold,yellow,foul_no_card,0.967,synthetic
I0359,M0359,R03,Gold,White,foul_no_card,no_offence,0.841,synthetic
I0360,M0360,R03,Green,Blue,no_offence,no_offence,0.936,synthetic
I0361,M0361,R04,Blue,Green,foul_no_card,yellow,0.967,synthetic
I0362,M0362,R04,Blue,Red,foul_no_card,yellow,0.978,synthetic
I0363,M0363,R04,Blue,Black,foul_no_card,yellow,0.954,synthetic
I0364,M0364,R04,Blue,White,foul_no_card,yellow,0.934,synthetic
I0365,M0365,R04,Blue,Black,foul_no_card,yellow,0.966,synthetic
I0366,M0366,R04,Blue,Green,foul_no_card,yellow,0.937,synthetic
I0367,M0367,R04,Blue,Green,foul_no_card,yellow,0.922,synthetic
I0368,M0368,R04,Blue,Red,foul_no_card,yellow,0.903,synthetic
I0369,M0369,R04,Blue,Black,foul_no_card,yellow,0.949,synthetic
I0370,M0370,R04,Blue,Red,foul_no_card,yellow,0.919,synthetic
I0371,M0371,R04,Blue,Red,foul_no_card,yellow,0.908,synthetic
I0372,M0372,R04,Blue,Red,foul_no_card,yellow,0.936,synthetic
I0373,M0373,R04,Blue,Red,foul_no_card,yellow,0.92,synthetic
I0374,M0374,R04,Blue,Red,foul_no_card,yellow,0.932,synthetic
I0375,M0375,R04,Blue,Green,foul_no_card,yellow,0.943,synthetic
I0376,M0376,R04,Blue,Red,foul_no_card,yellow,0.911,synthetic
